,Unnamed: 0,forum_id,submission_timestamp,review_timestamps,review_times
7,7,0ZbPmmB61g,1648225133183,"[1650620312622, 1649818634475, 1649639981347]","[2395179439, 1593501292, 1414848164]"
172,172,DqKdgQx7nY,1649079012547,"[1652468376645, 1652211010775, 1652060481038]","[3389364098, 3131998228, 2981468491]"
150,150,Cc5hHF5w3h,1649094867576,"[1651660101412, 1651598123879, 1650243397944]","[2565233836, 2503256303, 1148530368]"
501,501,cKhj8PlHDz,1649163958094,"[1654370711407, 1653005144328, 1651666714523]","[5206753313, 3841186234, 2502756429]"
496,496,berNQMTYWZ,1649261947684,"[1651466943747, 1650994283293, 1650495802419]","[2204996063, 1732335609, 1233854735]"
516,516,dpOYN7o8Jm,1650381762624,"[1654639329369, 1652085564060, 1652048125425, 1652039173022]","[4257566745, 1703801436, 1666362801]"
487,487,ak6Bds2DcI,1650705021056,"[1655036921612, 1654125485930, 1652644004305, 1652611905961, 1652296223609]","[4331900556, 3420464874, 1938983249]"
134,134,AiOUi3440V,1651618273285,"[1657322619003, 1657223155181, 1657222969503, 1654935897998, 1654387915662, 1654209365182]","[5704345718, 5604881896, 5604696218]"
122,122,9ycqTmEEYD,1651682163338,"[1656269186670, 1655396885612, 1655369593866, 1655339335757, 1653749324547, 1653171640287, 1653114918575, 1653113661276]","[4587023332, 3714722274, 3687430528]"
165,165,DUGATQhjOa,1652127393192,"[1656431897693, 1656428503729, 1655337347550, 1655315910950, 1654680432268, 1653760507900]","[4304504501, 4301110537, 3209954358]"
536,536,fLIWMnZ9ij,1652214190198,"[1659120632931, 1658618716752, 1657217213116, 1656605292299, 1656097853131, 1656073256433]","[6906442733, 6404526554, 5003022918]"
522,522,e3S0Bl2RO8,1652358435506,"[1658771595188, 1655389496942, 1655337696921, 1654281211081]","[6413159682, 3031061436, 2979261415]"
160,160,D3WI0QG7dC,1652457603737,"[1658317332339, 1658253407323, 1655680711957, 1655105130743, 1653851564637]","[5859728602, 5795803586, 3223108220]"
517,517,dpSskDgDfE,1652557898597,"[1655199609875, 1654819667216, 1654704185124]","[2641711278, 2261768619, 2146286527]"
151,151,Cct7kqbHK6,1652868596665,"[1656909010259, 1656432640200, 1655360743462, 1655320550792, 1655284513999]","[4040413594, 3564043535, 2492146797]"
6,6,0xENE7HiYm,1653043985905,"[1657603171052, 1657601529279, 1657030288962, 1657013771141, 1656678762612, 1655358540257, 1654714638516, 1654306041220]","[4559185147, 4557543374, 3986303057]"
500,500,brjAu7frHb,1653065218627,"[1656180347735, 1654850478861, 1654014158116]","[3115129108, 1785260234, 948939489]"
141,141,BDqzLH1gEm,1653080639446,"[1656829426504, 1655608444867, 1655093664078, 1654935283553]","[3748787058, 2527805421, 2013024632]"
515,515,dkHfV3wB2l,1653316402087,"[1657324635398, 1656605443460, 1656604992051, 1656515969721, 1656515400405, 1655908242162, 1655907704929, 1655907447349, 1654808501009, 1654741437802, 1653822570261]","[4008233311, 3289041373, 3288589964]"
2,2,0nEZCVshxS,1653445207347,"[1656394338903, 1655801395425, 1654921547989, 1654843806459, 1654758655207, 1654521232061]","[2949131556, 2356188078, 1476340642]"
494,494,bMar2OkxVu,1653701359696,"[1657923132272, 1655286418248, 1655277477692, 1655144683464]","[4221772576, 1585058552, 1576117996]"
526,526,e7mYYMSyZH,1653884584522,"[1658518948246, 1657258604049, 1656020782552, 1655318044735, 1655311652492]","[4634363724, 3374019527, 2136198030]"
490,490,ay72p3c2JA,1654008994712,"[1655321789758, 1655253822278, 1655225918773]","[1312795046, 1244827566, 1216924061]"
539,539,fXorxxbDvO,1654016878855,"[1657011434381, 1655626875233, 1655222826620]","[2994555526, 1609996378, 1205947765]"
148,148,CExeD0jpB6,1654189403370,"[1663943352793, 1663070768023, 1662434188124, 1661995772472, 1657412967220, 1657082262912]","[9753949423, 8881364653, 8244784754]"
524,524,e5ILb2Nqst,1654707025675,"[1662761030039, 1661350283422, 1660023641751, 1658720176205, 1658653113278, 1658383212976]","[8054004364, 6643257747, 5316616076]"
118,118,9nhmKwLAWV,1654715854717,"[1660750753765, 1658899263942, 1658848207553, 1657519015149, 1657510101865]","[6034899048, 4183409225, 4132352836]"
489,489,atJHLVyBi8,1654804575730,"[1661651875055, 1660110019332, 1659042784366, 1659009400292, 1658503558210]","[6847299325, 5305443602, 4238208636]"
